"시점",선행종합지수(2020=100),선행종합지수 전월비(%),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),선행지수 순환변동치,〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2020=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,〔순환변동치 전월차〕(p),후행종합지수(2020=100),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p)
"2021.03",105.1,0.7,1.9,5.3,0.4,-1.2,-0.7,3.1,0.08,101.9,0.3,6.4,0.2,102.2,0.5,0.6,1.5,-1.4,0.7,-0.7,1.3,0.3,98.5,0.3,102.1,0.4,0.3,0.3,1.6,0.3,0.0
"2021.04",105.8,0.7,1.5,4.3,2.0,0.0,0.8,0.8,0.09,102.3,0.4,6.7,0.3,103.2,1.0,0.3,1.7,1.3,0.3,0.4,2.5,0.8,99.4,0.9,102.7,0.6,-0.4,0.2,2.4,0.7,0.0
"2021.05",106.5,0.7,3.1,3.0,0.5,-2.0,0.6,0.8,0.10,102.6,0.3,6.9,0.2,103.5,0.3,-1.0,0.9,-1.8,1.0,-0.9,1.5,0.4,99.5,0.1,103.1,0.4,-0.5,0.2,2.3,0.3,0.0
"2021.06",107.1,0.6,2.3,2.7,0.9,-3.5,0.0,2.4,0.04,102.8,0.2,7.1,0.2,103.7,0.2,-0.2,0.5,-1.3,0.8,-0.1,-0.7,0.2,99.5,0.0,103.3,0.2,-0.7,0.1,0.0,0.2,0.0
"2021.07",107.2,0.1,-1.3,-0.5,-1.5,-2.5,-0.8,0.9,0.02,102.7,-0.1,6.7,-0.4,103.9,0.2,0.5,0.0,-0.7,0.5,-0.3,-0.1,0.2,99.4,-0.1,103.6,0.3,0.5,0.1,-0.3,0.2,0.0
"2021.08",107.3,0.1,-5.9,0.0,-1.4,4.0,-0.5,0.1,-0.03,102.4,-0.3,6.3,-0.4,104.1,0.2,1.2,-0.3,0.1,0.5,0.1,-0.9,0.2,99.5,0.1,104.0,0.4,2.2,0.1,-2.3,0.2,0.0
"2021.09",107.2,-0.1,-6.1,-1.6,-1.2,0.9,-0.2,-1.2,-0.06,102.0,-0.4,5.6,-0.7,104.3,0.2,0.6,0.0,0.4,0.5,-0.8,-0.3,0.3,99.4,-0.1,104.4,0.4,2.9,0.1,-0.3,0.2,0.1
"2021.10",107.1,-0.1,-6.1,0.7,-2.0,1.9,-1.3,-2.8,0.08,101.6,-0.4,4.9,-0.7,104.8,0.5,0.5,0.7,0.5,0.5,-0.3,0.9,0.2,99.6,0.2,105.0,0.6,2.8,0.4,-0.3,0.2,0.1
"2021.11",107.2,0.1,-4.3,0.5,-1.1,-3.1,-1.3,-2.3,0.10,101.3,-0.3,4.3,-0.6,105.3,0.5,0.4,1.4,-0.9,-0.3,0.3,1.1,0.3,99.9,0.3,105.6,0.6,1.3,0.1,2.8,0.2,0.1
"2021.12",107.3,0.1,-1.0,0.0,0.2,-1.3,-0.8,-1.7,-0.02,101.2,-0.1,3.8,-0.5,106.3,0.9,2.1,1.1,2.7,-0.1,1.6,1.8,0.2,100.7,0.8,106.1,0.5,1.4,0.2,2.4,0.2,0.1
